20160101,RAIN,T
20160102,RAIN,
20160103,RAIN,T
20160104,RAIN,T
20160105,RAIN,
20160106,RAIN,
20160107,RAIN,
20160108,RAIN,
20160109,RAIN,
20160110,RAIN,T
20160111,RAIN,
20160112,RAIN,
20160113,RAIN,T
20160114,RAIN,
20160115,RAIN,
20160116,RAIN,
20160117,RAIN,
20160118,RAIN,
20160119,RAIN,
20160120,RAIN,
20160121,RAIN,
20160122,RAIN,
20160123,RAIN,T
20160124,RAIN,
20160125,RAIN,
20160126,RAIN,
20160127,RAIN,T
20160128,RAIN,T
20160129,RAIN,T
20160130,RAIN,T
20160131,RAIN,
20160201,RAIN,
20160202,RAIN,
20160203,RAIN,
20160204,RAIN,
20160205,RAIN,T
20160206,RAIN,
20160207,RAIN,
20160208,RAIN,
20160209,RAIN,
20160210,RAIN,
20160211,RAIN,
20160212,RAIN,T
20160213,RAIN,
20160214,RAIN,
20160215,RAIN,
20160216,RAIN,
20160217,RAIN,
20160218,RAIN,
20160219,RAIN,
20160220,RAIN,
20160221,RAIN,
20160222,RAIN,
20160223,RAIN,
20160224,RAIN,
20160225,RAIN,T
20160226,RAIN,T
20160227,RAIN,
20160228,RAIN,
20160229,RAIN,T
20160301,RAIN,
20160302,RAIN,T
20160303,RAIN,
20160304,RAIN,
20160305,RAIN,T
20160306,RAIN,
20160307,RAIN,
20160308,RAIN,T
20160309,RAIN,
20160310,RAIN,
20160311,RAIN,
20160312,RAIN,T
20160313,RAIN,
20160314,RAIN,
20160315,RAIN,
20160316,RAIN,
20160317,RAIN,
20160318,RAIN,
20160319,RAIN,
20160320,RAIN,
20160321,RAIN,
20160322,RAIN,
20160323,RAIN,
20160324,RAIN,
20160325,RAIN,
20160326,RAIN,
20160327,RAIN,
20160328,RAIN,
20160329,RAIN,
20160330,RAIN,
20160331,RAIN,
20160401,RAIN,
20160402,RAIN,
20160403,RAIN,T
20160404,RAIN,T
20160405,RAIN,
20160406,RAIN,
20160407,RAIN,
20160408,RAIN,
20160409,RAIN,
20160410,RAIN,
20160411,RAIN,
20160412,RAIN,
20160413,RAIN,
20160414,RAIN,
20160415,RAIN,
20160416,RAIN,
20160417,RAIN,
20160418,RAIN,
20160419,RAIN,
20160420,RAIN,
20160421,RAIN,
20160422,RAIN,T
20160423,RAIN,
20160424,RAIN,
20160425,RAIN,
20160426,RAIN,
20160427,RAIN,
20160428,RAIN,
20160429,RAIN,
20160430,RAIN,
20160501,RAIN,
20160502,RAIN,
20160503,RAIN,T
20160504,RAIN,
20160505,RAIN,
20160506,RAIN,T
20160507,RAIN,
20160508,RAIN,
20160509,RAIN,
20160510,RAIN,
20160511,RAIN,
20160512,RAIN,
20160513,RAIN,
20160514,RAIN,
20160515,RAIN,
20160516,RAIN,T
20160517,RAIN,T
20160518,RAIN,
20160519,RAIN,
