USW00094846,20160111,WDF2,250,,,W,
USW00094846,20160111,WDF5,240,,,W,
USW00094846,20160111,WSF2,116,,,W,
USW00094846,20160111,WSF5,157,,,W,
USW00094846,20160111,WT01,1,,,W,
USW00094846,20160111,WT08,1,,,W,
USW00094846,20160112,TMAX,-66,,,W,2400
USW00094846,20160112,TMIN,-160,,,W,2400
USW00094846,20160112,PRCP,3,,,W,2400
USW00094846,20160112,SNOW,3,,,W,
USW00094846,20160112,SNWD,80,,,W,2400
USW00094846,20160112,AWND,73,,,W,
USW00094846,20160112,TAVG,-100,H,,S,
USW00094846,20160112,WDF2,310,,,W,
USW00094846,20160112,WDF5,280,,,W,
USW00094846,20160112,WSF2,116,,,W,
USW00094846,20160112,WSF5,152,,,W,
USW00094846,20160112,WT01,1,,,W,
USW00094846,20160112,WT08,1,,,W,
USW00094846,20160112,WT09,1,,,W,
USW00094846,20160113,TMAX,-38,,,W,2400
USW00094846,20160113,TMIN,-188,,,W,2400
USW00094846,20160113,PRCP,0,T,,W,2400
USW00094846,20160113,SNOW,3,,,W,
USW00094846,20160113,SNWD,80,,,W,2400
USW00094846,20160113,AWND,42,,,W,
USW00094846,20160113,TAVG,-141,H,,S,
USW00094846,20160113,WDF2,220,,,W,
USW00094846,20160113,WDF5,200,,,W,
USW00094846,20160113,WSF2,81,,,W,
USW00094846,20160113,WSF5,103,,,W,
USW00094846,20160114,TMAX,67,,,W,2400
USW00094846,20160114,TMIN,-43,,,W,2400
USW00094846,20160114,PRCP,0,,,W,2400
USW00094846,20160114,SNOW,0,,,W,
USW00094846,20160114,SNWD,50,,,W,2400
USW00094846,20160114,AWND,47,,,W,
USW00094846,20160114,TAVG,-8,H,,S,
USW00094846,20160114,WDF2,190,,,W,
USW00094846,20160114,WDF5,200,,,W,
USW00094846,20160114,WSF2,94,,,W,
USW00094846,20160114,WSF5,130,,,W,
USW00094846,20160115,TMAX,61,,,W,2400
USW00094846,20160115,TMIN,-10,,,W,2400
USW00094846,20160115,PRCP,3,,,W,2400
USW00094846,20160115,SNOW,0,T,,W,
USW00094846,20160115,SNWD,0,,,W,2400
USW00094846,20160115,AWND,60,,,W,
USW00094846,20160115,TAVG,44,H,,S,
USW00094846,20160115,WDF2,340,,,W,
USW00094846,20160115,WDF5,210,,,W,
USW00094846,20160115,WSF2,103,,,W,
USW00094846,20160115,WSF5,125,,,W,
USW00094846,20160115,WT01,1,,,W,
USW00094846,20160116,TMAX,-10,,,W,2400
USW00094846,20160116,TMIN,-127,,,W,2400
USW00094846,20160116,PRCP,0,,,W,2400
USW00094846,20160116,SNOW,0,,,W,
USW00094846,20160116,SNWD,0,,,W,2400
USW00094846,20160116,AWND,62,,,W,
USW00094846,20160116,TAVG,-20,H,,S,
USW00094846,20160116,WDF2,290,,,W,
USW00094846,20160116,WDF5,290,,,W,
USW00094846,20160116,WSF2,112,,,W,
USW00094846,20160116,WSF5,143,,,W,
USW00094846,20160117,TMAX,-132,,,W,2400
USW00094846,20160117,TMIN,-182,,,W,2400
USW00094846,20160117,PRCP,0,,,W,2400
USW00094846,20160117,SNOW,0,,,W,
USW00094846,20160117,SNWD,0,,,W,2400
USW00094846,20160117,AWND,72,,,W,
